"","Var1","Freq"
"48","12 PRINCESAS EN PUGNA",274
"184","23 344",25
"187","23 CENTIMETROS",33
"304","31 MINUTOS",22
"325","3 DIAS EN MAYO",69
"350","3 PAREJAS DISPAREJAS",64
"510","666",50
"562","7 MACHOS",105
"563","7 MACHOS STAND UP COMEDY",58
"748","ABISMO",18
"814","ABONO ACUARIO INBURSA LABORATORIO SUB",23
"1078","ACUARIO INBURSA",1006
"1079","ACUARIO INBURSA LABORATORIO SUBMARINO",193
"1095","ADIOS CARLOTA",38
"1100","ADIOS Y BUENA SUERTE",19
"1120","AEROPLANOS",285
"1129","AFRICAM SAFARI",90
"1138","AFUERA RECONSTRUCCION DE UNA OBRA",16
"1178","ALADDIN EL MUSICAL",22
"1183","ALADINO Y LA LAMPARA MARAVILLOSA",25
"1200","A LA ORILLA DEL RIO",74
"1226","ALEJANDRA GUZMAN",17
"1234","ALEJANDRO FERNANDEZ",50
"1285","ALGO DE UN TAL SHAKESPEARE",30
"1290","ALGO SOBRE UNA PAREJA Y UN HIJO",32
"1298","ALICIA ALICIA",16
"1301","ALICIA EN EL PAIS DE LAS MARAVILLAS",18
"1324","ALMACENADOS",67
"1325","AL MAL PASO DARLE RISA",42
"1345","ALWAYS",16
"1358","AMANTES ENEMIGOS ENEMIGOS AMANTES",21
"1365","AMAR Y QUERER",22
"1483","AMOR 25 AÑOS DESPUES",24
"1489","AMORATADOS",324
"1492","AMOR DE MIS AMORES",16
"1494","AMOR EN LA OBRERA",20
"1496","AMORES PARALELOS",27
"1527","ANAMNESIS",33
"1545","ANDRE RIEU",16
"1574","ANGELIQUE",29
"1586","ANIMAS MASCARADA DE ESPECTACULO",16
"1587","ANIMA SOLA",16
"1589","ANITA LA HUERFANITA",54
"1606","ANNIE ANITA LA HUERFANITA",93
"1617","ANTES TE GUSTABA LA LLUVIA",27
"1620","ANTIGONA",36
"1641","APARTE",24
"1650","APLAUSO",61
"1654","APOIDEA BREVE OPERA HEXAGONAL",24
"1666","AQUI ENTRE DOS SOMOS TRES",30
"1669","AQUI Y AHORA",36
"1689","ARGELIA LA HISTORIA DEL CAUTIVO",16
"1724","ARRANCONES NOCTURNOS",23
"1728","ARROJADOS AL MUNDO",31
"1730","ARROZ CONGRI",16
"1732","ARRULLOS PARA BENJAMIN",23
"1767","ASI ES MEXICO VIVO",23
"1776","ASIMOV",37
"1839","ATRAPALO SI PUEDES",23
"1850","A UN ORGASMO DEL DIVORCIO",18
"1858","AUTOBUS",51
"1912","AVENIDA Q",46
"1913","AVENTURA JURASICA",356
"1914","AVENTURA JURASICA DE LUNES A VIERNES",125
"1915","AVENTURA JURASICA SAB Y DOM",51
"1917","AVENTURERA",37
"1927","A VIVIR",258
"1930","A VIVIR DE ODIN DUPEYRON",18
"1937","AY GUADALAJARA HERMOSA",16
"1940","AYOLANTE UN HADA EN EL CONGRESO",21
"1995","BAJO LA MIRADA DE LAS MOSCAS",24
"1996","BAJO RESERVA",51
"1997","BAJO TERAPIA",179
"2080","BALLET FOLKLORICO DE MEX",56
"2082","BALLET FOLKLORICO DE MEXICO",362
"2135","BALLET PEDRO Y EL LOBO",18
"2145","BALSA SIN REMOS",21
"2146","BAMBIS DIENTES DE LECHE",27
"2153","BANDA DE GUERRA",30
"2197","BAÑOS ROMA",20
"2209","BAR NOSTALGIA",16
"2229","BARRIO DE TRIANA",17
"2237","BASTA DE ENREDOS",18
"2301","BESTIA CIEGA",18
"2306","BESTIAS EN ITALIA",25
"2344","BILLY ELLIOT EL MUSICAL",189
"2357","BJ RK DIGITAL",47
"2358","BJ RK DIGITAL EXP NOCTURNA",28
"2366","BLACK TIE FEMMES",30
"2367","BLACK TIE FEMMES Y TREN A MARTE",40
"2371","BLANCACHEVES Y SUS 7 BRIAGOS",34
"2386","BLUE MAN GROUP",27
"2408","BOLA DE CARNE",21
"2460","BOX AMATEUR",20
"2474","BOZAL",42
"2487","BRIGHT IDEAS",28
"2516","BUBBLE GUM",108
"2534","BULE BULE EL SHOW",77
"2547","BURUNDANGA LA DROGA DE LA VERDAD",18
"2548","BURUNDANGA LOS AMANTES NO MIENTEN",16
"2552","BUSCO AL HOMBRE DE MI VIDA",119
"2553","BUSCO AL HOMBRE DE MI VIDA MARIDO",57
"2556","BUSCO AL HOMBRE DE MI VIDA MARIDO YA TUVE",463
"2586","CADA QUIEN SU VIDA",19
"2587","CADA VEZ NOS DESPEDIMOS MEJOR",45
"2600","CALACAS",37
"2626","CAMA PARA DOS",19
"2633","CAMERATA DE COAHUILA",86
"2687","CANCION DE AMOR",27
"2713","CAOS MENTAL",16
"2716","CAPERUCITA ROJA Y EL LOBO FEROZ",110
"2717","CAPITAL",57
"2718","CAPITAL ALTERNOS",18
"2794","CARRERA DE CABALLOS",237
"2799","CARRERAS DE CABALLOS",325
"2802","CARRIE",25
"2803","CARRIE EL MUSICAL",45
"2814","CARTAS DE AMOR A STALIN",24
"2826","CASA MATRIZ",23
"2844","CATS",81
"2898","CENICIENTA",129
"2923","CEROAGUACERO",21
"2931","CERVANTES VS SHAKESPEARE",20
"2961","CHARLOTTE Y LA LINEA DEL TIEMPO",16
"2980","CHARROS VS CAÑEROS MOCHIS",34
"2995","CHAYANNE",26
"3011","CHICO CONOCE A CHICA",30
"3013","CHICOS CATOLICOS",100
"3130","CIRCO DE LAS PESADILLAS",104
"3134","CIRCO DE LAS PESADILLAS TIJ",22
"3135","CIRCO DE LOS HORRORES",130
"3149","CIRQUE DU SOLEIL",78
"3151","CIRQUE DU SOLEIL CENA ESPECTACULO",157
"3152","CIRQUE DU SOLEIL CORTEO",52
"3154","CIRQUE DU SOLEIL JOYA",32
"3155","CIRQUE DU SOLEIL RIVIERA MAYA",411
"3157","CIRQUE DU SOLEIL SOLO ESPECTACULO",237
"3158","CIRQUE DU SOLEIL TORUK",18
"3160","CISCALE CISCALE DIABLO PANZON",69
"3162","CITA A CIEGAS",23
"3168","CIVILIZACION",48
"3177","CLAROSCURO DIAS Y NOCHES",19
"3203","CLAUSURA DEL AMOR",61
"3233","CLOSER",29
"3323","COMEDIA CHIDA",17
"3324","COMEDIA CHIDA STAND UP COMEDY",36
"3395","COMO APRENDI A MANEJAR",20
"3404","COMO QUIERAS APERRO AMAME",109
"3405","COMO QUIERAS PERRO AMAME",780
"3406","COMO SE LLAMA",25
"3410","COMO STAND",23
"3411","COMO STAND STAND UP COMEDY",18
"3424","COMPAÑIA NACIONAL DE DANZA",26
"3427","COMPAÑIA NACIONAL DE OPERA",16
"3674","CON EL FUEGO POR TESTIGO",18
"3675","CON EL JESUS EN LA BOCA",41
"3725","CONFERENCIA SOBRE LA LLUVIA",24
"3770","CONTRACCIONES",30
"3778","CON VISTA AL MUNDO",16
"3834","CORIOLANO",16
"3896","CORRE POR TUS VIEJAS",46
"3918","COSAS DE MUCHACHOS",47
"3919","COSAS PEQUEÑAS Y EXTRAORDINARIAS",56
"3920","COSAS PERDIDAS",19
"3945","CRI CRI",17
"3948","CRIMENES DEL CORAZON",31
"3949","CRIMENES RITUALES",17
"3950","CRIMINAL",31
"4069","CUANDO CANTA UN ALEBRIJE",23
"4070","CUANDO HABIA GRANADAS EN NOVIEMBRE",36
"4098","CUARTETO PARA CUATRO ACTORES",20
"4122","CUATRO ULTIMAS COSAS",33
"4132","CUCARA Y MACARA",16
"4136","CUENTAS MUERTAS",55
"4137","CUENTO DE NAVIDAD",19
"4145","CUENTOS MITOS Y LEYENDAS",16
"4151","CUERDAS",22
"4163","CULTUS INTERRUPTUS",18
"4208","CURVA PELIGROSA",52
"4348","DEJAME ENTRAR",27
"4365","DELIRIUM POLLUM",25
"4367","DEL MANANTIAL DEL CORAZON",25
"4371","DE LUCHA LIBRE",21
"4373","DELYRIA",32
"4374","DEMASIADO CORTAS LAS PIERNAS",29
"4396","DE PRINCIPES PRINCESAS",27
"4397","DE PRINCIPES PRINCESAS Y OTROS BICHOS",19
"4470","DESPUES DEL ENSAYO",51
"4477","DESVENAR",40
"4478","DE TRIPAS CORAZON",17
"4534","DIARIO DE UN LOCO",25
"4540","DICCIONARIO",16
"4544","DICEN QUE ME PAREZCO A SANTA ANNA",32
"4606","DIRTY DANCING",76
"4608","DIRTY DANCING EL REGRESO",33
"4635","DIVAS DE CORREDOR",42
"4642","DIVINO PASTOR GONGORA",31
"4688","DOMINGO FAMILIAR",142
"4689","DOMINGO FAMILIAR DE LUCHA LIBRE",87
"4690","DOMINGO FAMILIAR DE LUCHA LIBRE CMLL",54
"4698","DOMINGO FAMILIAR GUADALAJARA",36
"4712","DONDE ESTA ISABELA",22
"4721","DONDE QUEDO LA COLITA",34
"4725","DON JUAN",28
"4727","DON JUAN TENORIO",19
"4740","DORA LA EXPLORADORA EN BUSCA DE LA ISLA DEL TESORO",18
"4752","DOS A DESTIEMPO",24
"4768","DRACULIN EL MUSICAL",25
"4793","DRIVING SCHOOL",27
"4814","DUBLIN",21
"4815","DUELE",25
"4816","DUELE DE RAJIV JOSEPH",21
"4901","EL AMOR DE LAS LUCIERNAGAS",109
"4909","EL AÑO DE RICARDO",19
"4928","EL AVARO",53
"4938","EL BIEN Y MAL AMADO",16
"4944","EL BUHO QUE TEMIA A LA OSCURIDAD",18
"4953","EL CAMINO DE LOS PASOS PELIGROSOS",23
"4960","EL CARTERO IL POSTINO",30
"4962","EL CASCANUECES",62
"4989","EL CAZAMIENTO A LA FUERZA",16
"4993","EL CHICO DE LA ULTIMA FILA",22
"4994","EL CHORO QUE MAREA",42
"4996","EL CIELO DE LOS PRESOS",16
"5003","EL CLUB DE LOS FANTASMAS",22
"5012","EL CORAZON DE LA MATERIA",16
"5016","EL CREDITO",63
"5026","EL CUERPO DE MERCUTIO",34
"5031","EL CUIDADOR MAMA LAS LLAVES DEL COCHE",29
"5036","EL CURIOSO INCIDENTE DEL PERRO",173
"5052","EL DIARIO DE ANA FRANK",128
"5055","EL DIARIO DE UN LOCO",38
"5058","EL DIFUNTO SEÑOR HENRY MOSS ESTRENO DE SAM",30
"5084","ELEFANTE",25
"5127","EL FANTASMA EN EL ESPEJO",94
"5128","EL FANTASMA EN EL ESPEJO ALTERNO",21
"5131","EL FINAL",18
"5132","EL FINAL DEL ARCOIRIS",18
"5144","EL GLOBO FLOTANDO",29
"5146","EL GORILA",43
"5157","EL GRILLO",22
"5162","EL HADA DE ABU GHRAIB",20
"5164","EL HIJO DE MI PADRE",25
"5168","EL HOMBRE DE LA MANCHA",231
"5169","EL HOMBRE QUE SE CONVIRTIO EN PISTO",16
"5171","EL HOMBRE SIN ADJETIVOS",25
"5180","EL INFIERNO",16
"5182","EL INSPECTOR",16
"5202","EL JARDIN DE LAS DELICIAS",19
"5204","EL JARDIN DE LOS CEREZOS",19
"5205","EL JARDIN SECRETO",22
"5209","EL JOVEN FRANKENSTEIN",120
"5211","EL JUEGO DE SILLA",18
"5212","EL JUEGO DE YALTA",45
"5213","EL JUEGO QUE TODOS JUGAMOS",274
"5215","EL LABERINTO DE UN HOMBRE SOLO",23
"5221","EL LAGO DE LOS CISNES",109
"5228","EL LAPIZ DE SEBASTIAN",24
"5232","EL LIBERTINO",31
"5233","EL LIBRO DE LA SELVA",38
"5234","EL LIBRO DE LA SELVA LA AVENTURA",86
"5239","EL LOCO AMOR VIENE",18
"5240","EL LOCO Y LA CAMISA",68
"5248","EL MAGNIFICO VS EL ATAQUE DEL MOSTRO",16
"5249","EL MAGO DE OZ",194
"5250","EL MAGO DE OZ EL MUSICAL",57
"5252","EL MAGO DE OZ ON ICE",20
"5256","EL MARAVILLOSO MAGO DE OZ",23
"5260","EL MATRIMONIO PALAVRAKIS",35
"5262","EL MEDICO A PALOS",66
"5280","EL MISANTROPO O EL VIOLENTO ENAMORADO",31
"5295","EL NAHUAL",47
"5312","EL OTRO LADO",47
"5313","EL OTRO LADO DE LA CAMA",79
"5314","EL OTRO SENTIDO",31
"5315","EL PADRE",57
"5318","EL PAJARO AZUL",16
"5320","EL PARAISO DEL CAMALEON",19
"5321","EL PARKING PLACE DEL DESEO",25
"5325","EL PELON EN SUS TIEMPOS DE COLERA",62
"5348","EL PRINCIPE YNOCENTE",49
"5349","EL PRINCIPIO DE ARQUIMEDES",44
"5354","EL PROFESOR",48
"5358","EL PUTO PEON NEGRO CHUECO",20
"5359","EL RADIO",19
"5362","EL REENCUENTRO",26
"5363","EL REFUGIO",27
"5364","EL REINO DE LOS ANIMALES",42
"5369","EL REY LEON",747
"5385","EL RUIDO DE LOS HUESOS QUE CRUJEN",20
"5387","EL SAPO Y LAS MINAS DE MERC",16
"5389","EL SECRETO DEL CLOWN",30
"5391","EL SECUESTRO DE LA CUQUIS",25
"5392","EL SELLO ESCARLATA",30
"5425","EL SILENCIO PERFECTO",27
"5426","EL SINDROME DUCHAMP",17
"5429","EL SIRENITO",52
"5431","EL SOTANO DE SEGISMUNDO",59
"5434","EL SUEÑO DE LA MANTARRAYA",30
"5438","EL SUPLENTE",16
"5440","EL TABLERO DE LAS PASIONES",22
"5451","EL TENORIO",53
"5452","EL TENORIO COMICO",78
"5455","EL TESTAMENTO DE MARIA",84
"5459","EL TIEMPO SE DETIENE",24
"5468","EL ULTIMO PRESO",56
"5469","EL ULTIMO TEATRO DEL MUNDO",28
"5480","EL VESTIDOR THE DRESSER",24
"5487","EL VIAJE DE NINNA",21
"5488","EL VIAJE DE ULISES",25
"5493","EL VIOLINISTA EN EL TEJADO",41
"5516","EMMANUEL MIJARES",40
"5530","ENAMORARSE DE UN INCENDIO",59
"5535","EN CASA EN EL ZOO",74
"5569","ENEMIGO DE CLASE",27
"5570","ENEMIGO DEL PUEBLO",24
"5585","EN LA SOLEDAD DE LOS MUERTOS",20
"5587","EN MEXICO ES MUCHO PEOR",39
"5594","ENRIQUE BUNBURY",17
"5605","ENRIQUE IV",21
"5606","ENRIQUE IV PRIMERA PARTE",19
"5683","ENTONANDO LOS MUSICALES DE BROADWAY",42
"5716","ENTRE SAPOS",51
"5743","ERAMOS TRES HERMANAS",23
"5747","ERASE UNA VEZ OC YE NECHCA",20
"5750","ERES BUENO CHARLIE BROWN",28
"5773","ESCOCIA",21
"5774","ESCONDITES",22
"5775","ESCORIAL",18
"5785","ESCURRIMIENTO Y ANTICOAGULANTES",43
"5804","ESPERANDO A GODOT",63
"5806","ESPERANDO AL GATO",20
"5822","ESQUIZOFRENIA",51
"5829","ESTACIONAMIENTO",1381
"5847","ESTANDO PARA TODOS",109
"5848","ESTANDO PARA TODOS STAND UP COMEDY",37
"5852","ESTAS AHI",24
"5853","ESTA SEMANA LLOVERAN PAJAROS",21
"5878","ESTOY LOCO",44
"5881","ESTRELLA Y MEDIA",22
"5981","EVENTOS IND ESPECIALES SULTANES",57
"5982","EVENTOS INDIVIDUALES SULTANES 2016 GENERAL",56
"5985","EVENTO ZONAS ALTERNAS",37
"5994","EXCESO DE EQUIPAJE",28
"6003","EXILIADOS",74
"6004","EXILIOS",20
"6008","EXP DESIGNING 007 ACUARIO",59
"6012","EXPERIENCIA NOCTURNA",90
"6013","EXPERIENCIA NOCTURNA CHOLULA",63
"6015","EXPERIENCIA NOCTURNA EN TEOTIHUAC N",32
"6021","EXP NOCTURNA EN TEOTIHUACAN",64
"6034","EXPO DESIGNING 007",78
"6036","EXPO NUPCIAS",20
"6048","EXPO SEXO Y EROTISMO",17
"6078","EXTRAÑOS EN UN TREN",485
"6079","EXTRA OS EN UN TREN",103
"6119","FANDANGO",25
"6155","FAT CROW PRESENTA CHELANGOS",40
"6190","FAUSTO TU Y YO",16
"6202","FELICES",38
"6216","FERIA INTER DEL LIBRO DE GDL",18
"6232","FERNANDO DELGADILLO",16
"6234","FEROCES",31
"6564","FINEA EN EL PAPALOAPAN",32
"6568","FIRST DATE LLEGARAS AL POSTRE",19
"6619","FOREVER YOUNG NEVER ALONE",22
"6647","FRACTALES",29
"6649","FRAGMENTOS",16
"6650","FRAGMENTOS DE UN DISCURSO EXPRESS",23
"6671","FRANCO ESCAMILLA",30
"6686","FREEDOM LUCHA LIBRE CMLL",63
"6698","FRONTERA NORTE",18
"6873","GALAS DEL MARIACHI",20
"6915","GELIDAS CARICIAS",41
"6993","GLOW ARTES ESCENICAS",17
"7002","GODSPELL",78
"7063","GRANDIOSAS",17
"7079","GRANJA LAS AMERCIAS",24
"7080","GRANJA LAS AMERICAS",1225
"7103","GRITO",49
"7125","GRUPO OKEY",55
"7128","GRUPO OKEY NOCHES OCHENTERAS",29
"7149","GUERRA",23
"7167","HA ASH",21
"7171","HABITOS OCULTOS",31
"7172","HABLAME COMO LA LLUVIA Y DEJAME",26
"7196","HANDEL",38
"7197","HANSEL Y GRETEL",92
"7201","HAPPY",20
"7205","HAPPY UN JODIDO DRAMA",18
"7207","HARD CANDY",37
"7222","HARUKI",17
"7255","H EL GORDITO QUIERE SER CINEASTA",36
"7276","HERMANAS",29
"7293","HEY WOYZECK PERRO",23
"7299","HIJOS DE TRUMP",22
"7306","HIPODROMO",54
"7307","HIPOPOTAMIGA",24
"7328","HOLA Y CHAU PAPA",18
"7416","HOTEL DE LEYENDAS VICTORIA",63
"7419","HOTEL GOOD LUCK",35
"7429","HOY NO ME PUEDO LEVANTAR",408
"7431","HOY TOCA PARADOS",23
"7434","HUERFANOS",42
"7445","HURT",17
"7463","ID ELOIZE",18
"7466","I D I O T A",114
"7520","ILUMINACION",39
"7523","ILUSIONES",37
"7530","IMANES",16
"7539","IMPERIO",132
"7570","IND ADICIONALES TEMP 16 17",16
"7590","INDIVIDUALES CLUB SEAT TEMP 16 17",25
"7600","INDIVIDUALES TEMP 16 17",19
"7618","IND SULTANES ESPECIALES",55
"7625","INFIDELIDADES",164
"7648","INMOLACION",22
"7668","INSTINTO",31
"7697","INSTRUCCIONES PARA UNA MUERTE",56
"7765","IRIS HACE SALA",26
"7831","JALISCO OPEN",19
"7893","JEKYLL AND HYDE",45
"7894","JEKYLL HYDE",37
"7915","JESUS GUZMAN ES EN SERIO STAND UP COMEDY",73
"7916","JESUS GUZMAN ES ENSERIO STAND UP COMEDY",42
"7949","JOHN MILTON",16
"7993","JOSEFA EL MUSICAL DE MEXICO",36
"8040","JUAN GABRIEL",19
"8062","JUEGOS DE PODER",16
"8066","JUEVES STANDUP",16
"8067","JUGADORES",71
"8068","JUGAR",29
"8128","KARAMAZOV",21
"8239","LA ANARQUISTA",33
"8258","LA BANDA DE ALEX",27
"8268","LA BELLA DURMIENTE",19
"8274","LA BELLEZA",19
"8282","LA BESTIA",17
"8315","LA CANTANTE CALVA",24
"8318","LA CARAVANA DEL HUMOR",18
"8322","LA CARRETA DE DON MATIAS",23
"8323","LA CASA DE BERNARDA ALBA",26
"8327","LA CASA DE LOS ESPIRITUS",28
"8334","LA CATRINA EN TRAJINERA",43
"8344","LA CHUNGA",22
"8353","LA CONTRADICCION QUE SE HEREDA",27
"8362","LA CRIA",24
"8370","LA DALIA NEGRA",67
"8373","LA DAMA DE NEGRO",675
