"","Var1","Freq"
"8381","LA DECONSTRUCCION DE PAULA",40
"8385","LA DESOBEDIENCIA DE MARTE",34
"8391","LA DONCELLA PONZOÑOSA",32
"8397","LA ESCUELA DE LAS MUJERES",34
"8399","LA ESPANTOSA Y MARGINAL VIDA GODZILLA",32
"8400","LA ESPERA",38
"8402","LA ESTETICA DEL CRIMEN",147
"8404","LA EXTINCION DE LOS DINOSAURIOS",39
"8405","LA FABRICA CIRCO HECHO A MANO",18
"8406","LA FABRICA DE SANTA",25
"8410","LA FAMILIA DE DIEZ",132
"8418","LA FIERECILLA TOMADA",96
"8447","LA GATA SOBRE EL TEJADO",33
"8448","LA GAVIOTA",27
"8454","LA GRANJA DE ZENON",19
"8457","LA GUERRA EN LA NIEBLA",24
"8464","LA HIJA DEL AIRE",48
"8465","LA HISTORIA DE GAZAPO",188
"8466","LA HISTORIA DE LA OCA",19
"8475","LA HORA RADIO ROMA II",30
"8478","LAIKA",24
"8481","LA IMPROLUCHA",25
"8495","LA ISLA",24
"8498","LA JAULA DE LAS LOCAS",302
"8512","LA LEYENDA DE LA LLORONA",51
"8514","LA LEYENDA DEL NAHUAL",21
"8516","LA LEYENDA DE LOS VOLCANES",44
"8522","LA LLAMADA",37
"8524","LA LLORONA DE XOCHIMILCO",70
"8525","LA LLORONA Y SUS CIEN AÑOS",25
"8526","LA LOTERIA DEL STAND UP",66
"8545","LA METAFORA DE LAS AVES",16
"8547","LA MIRADA DEL INVENTOR CIEGO",31
"8552","LA MOLE COMIC CON",18
"8557","LA MONARQUIA CASI PERFECTA",42
"8563","LA MUERTE Y LA DONCELLA",28
"8566","LA MUJER JUSTA",52
"8571","LA MUJER QUE MATO A LOS PECES",39
"8583","LANDRU Y LA MANO DEL COMANDANTE ARANDA",18
"8593","LA NOCHE JUSTO ANTES DE LOS BOSQUES",18
"8609","LA OBRA DE BOTTOM",34
"8615","LA OMISION DE LA FAMILIA COLEMAN",18
"8616","LA OPERA ES PURO CUENTO",16
"8637","LA PEOR SEÑORA DEL MUNDO",85
"8638","LA PEOR SE ORA DEL MUNDO",29
"8653","LA RAZON BLINDADA",16
"8659","LA REINA HA MUERTO",24
"8662","LA RETIRADA",18
"8688","LAS 80 MEJORES AMIGAS",33
"8689","LAS ALAS DEL PEZ",21
"8690","LAS ALEGRES COMADRES DE ATRACOMULCO",21
"8697","LAS AVENTURAS DE BURATINO",27
"8702","LAS BIZARRIAS DE BELISA",47
"8715","LAS CRIADAS",36
"8722","LA SEMILLA",39
"8729","LAS ESTRELLAS EN EL CASTILLO",18
"8745","LA SIRENITA",210
"8747","LAS LAGRIMAS DE EDIPO",19
"8757","LAS MENINAS NOVOHISPANAS",17
"8761","LAS MUCHACHAS DEL CLUB",67
"8765","LAS MUJERES SON DE VENUS Y LOS HOMBRES",33
"8781","LAS PEPENADORAS",20
"8786","LAS PMS STAND UP COMEDY",49
"8802","LAS SOMBRAS DE OFELIA",16
"8803","LAS TOUZA",27
"8834","LA ULTIMA PALABRA",20
"8835","LA ULTIMA SESION DE FREUD",115
"8858","LA VELOCIDAD DEL ZOOM",28
"8861","LA VENGADORA DE LAS MUJERES",28
"8869","LA VERITA COMPAÑIA FINZI PASCA",20
"8876","LA VIDA ES SUEÑO",65
"8880","LA VILLA DE SANTA CLAUS",26
"8899","LECHE DE GATO",27
"8906","LEGALMENTE PERRA",37
"8913","LE JOURNAL",62
"8953","LE PRENOM",32
"9059","LIMBO",30
"9076","LISI STAND UP COMEDY",22
"9100","LLUEVE EN BARCELONA",18
"9102","LLUVIA DE ALEGRIAS",48
"9116","LOCOS POR EL TE",252
"9144","LO QUE QUEDA DE CIELO",24
"9145","LO QUE QUEDA DE NOSOTROS",85
"9178","LOS AMANTES",21
"9198","LOS BONOBOS",105
"9214","LOS CORDEROS",25
"9218","LOS CUERVOS NO SE PEINAN",27
"9234","LOS EQUILIBRISTAS",21
"9271","LOS HUEVOS DE MI MADRE",36
"9276","LOS INGRAVIDOS",23
"9282","LOS LOCOS ADDAMS",163
"9283","LOS LOCOS SUAREZ",298
"9284","LOS LUGARES DE LA MEMORIA DURANGO 66",16
"9292","LOS MINUTOS SE VIERTEN",35
"9298","LOS MONOLOGOS DE LA VAGINA",229
"9301","LOS NAUFRAGOS",36
"9307","LOS OJOS DE ANA",50
"9326","LOS QUE SOBRAN",20
"9363","LOS TRES COCHINITOS Y EL LOBO FEROZ",31
"9394","LUCHA LIBRE",18
"9402","LUCHA LIBRE CMLL",343
"9403","LUCHA LIBRE CMLL BALCON FREEDOM",17
"9408","LUCHA LIBRE CMLL MARTES POPULARES",17
"9445","LUIS MIGUEL",29
"9576","LXXI TORNEO DE GUANTES DE ORO DEL D F",19
"9581","MACBETH",17
"9597","MADE IN MEXICO",43
"9599","MADE IN MEXICO OTRA HISTORIA",461
"9600","MADE IN MEXICO OTRA HISTORIA DE AMOR",320
"9662","MAMA",16
"9664","MAMA POR SIEMPRE",238
"9665","MAMA TE VOY A DEMANDAR",24
"9666","MAME",32
"9667","MAME EL MUSICAL",47
"9678","MANICOMIO",47
"9709","MANZANAS",41
"9714","MARC ANTHONY",33
"9759","MARIANA MALLOL",38
"9766","MARIA WOYZECK",25
"9785","MAR MONSTRUM",20
"9790","MARTA TIENE UN MARCAPASOS",40
"9791","MARTES DE GLAMOUR",199
"9793","MARTES POPULARES",26
"9794","MARTES POPULARES DE LUCHA LIBRE",86
"9795","MARTES POPULARES DE LUCHA LIBRE CMLL",78
"9798","MARTHA TIENE UN MARCAPASOS",43
"9812","MASCABROTHERS",19
"9821","MASHA Y EL OSO EL SHOW EN VIVO",16
"9823","MASIOSARE UN EXTRAÑO ENEMIGO",23
"9825","MAS PEQUEÑOS QUE EL GUGGENHEIM",47
"9826","MAS PEQUE OS QUE EL GUGGENHEIM",18
"9829","MASTER CLASS",96
"9835","MATATENA",22
"9837","MATEO 19 14",20
"9932","MEGA FERIA IMPERIAL",26
"9981","MEMORIAS DE DOS HIJOS CARACOL",40
"9986","MENDOZA",53
"9988","MENELAO RAPSODIA",56
"9990","MENOCLOWNSIA",16
"9991","MENOPAUSIA EL MUSICAL",134
"9994","MENTIRAS",850
"9996","MENTIRAS EL MUSICAL",67
"10046","ME VALE MADRES EL ESPECTACULO",21
"10089","MIA",24
"10120","MIERCOLES DE STAND UP",22
"10122","MIGUEL ANGEL BUONARROTI",25
"10123","MIGUEL ANGEL Y LEONARDO",50
"10124","MIGUEL BOSE",25
"10142","MILAGROS",23
"10191","MINGA",17
"10202","MI QUERIDO CAPITAN",24
"10224","MIS MEJORES AMIGOS",17
"10292","MONSTRUOS EL MUSICAL",16
"10324","MORIR O NO MORIR",24
"10328","MORRITZ Y EL PEQUEÑO MONS",18
"10378","MUERTE SUBITA",25
"10392","MUJC Y LOS NIÑOS DEL BOSQUE DE LA NIEVE",31
"10395","MUJER ES ASUNTO DE HOMBRES",21
"10396","MUJERES CON AURA",19
"10397","MUJERES DE CENIZA",50
"10401","MUJERES SIN CUELLO",39
"10438","MUSICA DE CAMARA",78
"10475","MUSICA DE CAMARA PROG 5",16
"10518","MUSICA PARA LOS OJOS",23
"10560","MY LITTLE PONY",16
"10576","MYST MY SOUNDTRACK",17
"10577","MYST MY SOUNDTRACK MAYORES EDAD",21
"10581","MYST MY SOUNDTRACK TOUCHING ME",47
"10585","MYST MY SOUNDTRACK TOUCHING ME MAYORES",32
"10587","MYST MY SOUNDTRACK TOUCHING ME TOUCHING YOU",29
"10589","MYST TOUCHING ME",24
"10622","NATALIA LAFOURCADE",27
"10628","NATIONAL PASTIME",28
"10779","NEGACION",26
"10792","NERIUM PARK",42
"10800","NEVA",26
"10839","NI MUY ALLA NI MUY ACA",21
"10849","NIÑO PERDIDO",50
"10854","NI O PERDIDO",26
"10864","NOCHE DE ESTRENO",32
"10869","NOCHE DE REYES",46
"10883","NOCHES CON LAPSUS",21
"10890","NOCHES DE STAND UP",98
"10905","NO FUE PRECISAMENTE BERNARDETTE",20
"10907","NO IDENTIFICADO",69
"10924","NORA CIERRA LA PUERTA",17
"10925","NORMAL EL MUSICAL",17
"10940","NO SE ELIGE SER UN HEROE",62
"10942","NO SERE FELIZ PERO TENGO MARIDO",96
"10962","NO TOCAR",19
"11004","NUMANCIA",28
"11007","NUNCA ES TARDE PARA APRENDER FRANCES",44
"11086","ODYSSEO BY CAVALIA",33
"11109","OJALA Y EL AMOR BASTARA",21
"11122","OLEANNA",33
"11142","OMBLIGOS BRILLANTES",22
"11147","OMNIS BESTIA",20
"11348","OREGANO",18
"11555","ORQUESTA FILARMONICA",44
"11559","ORQUESTA FILARMONICA DE ACAPULCO",25
"11563","ORQUESTA FILARMONICA DE JALISCO",35
"11566","ORQUESTA FILARMONICA DE LA CIUDAD",32
"11567","ORQUESTA FILARMONICA DE LA CIUDAD DE MEXICO",44
"11621","ORQUESTA SINFONICA NACIONAL",103
"11695","OV7 KABAH",34
"11734","PAJARO",22
"11739","PALABRAS AL VUELO",36
"11740","PALABRAS DE AMOR EN ALEMAN",18
"11745","PALIMPSESTO",27
"11779","PAPI PIERNAS LARGAS",18
"11782","PAPITO QUERIDO",25
"11813","PARAISO DISEÑADO",16
"11815","PARA LA LIBERTAD",21
"11820","PARA SOÑAR QUE NO ESTAMOS HUYENDO",16
"11825","PAREJAS VEMOS TRIOS NO SABEMOS",21
"11834","PARTIDA",23
"11858","PASION",28
"11929","PAW PATROL",17
"11930","PAW PATROL EL SHOW EN VIVO",32
"11954","PEDRO Y EL LOBO",79
"11969","PENELOGIAS",59
"11970","PENELOGIAS LA ANTOLOGIA",154
"11973","PENUMBRA",17
"11981","PEPPA EL SHOW EN VIVO",27
"11984","PEPPA PIG",29
"11986","PEPPA PIG EL SHOW EN VIVO",22
"11995","PEQUEÑO FIN DEL MUNDO",17
"12010","PERRA VIDA DULCES SUEÑOS",18
"12012","PERRO SIN RAZA",36
"12035","PETER PAN",90
"12036","PETER PAN EL MUSICAL",38
"12051","PIAF VIVIR POR UNA VOZ",52
"12064","PIDO LA PALABRA CON JESUS GUZMAN",29
"12087","PINOXCHO",17
"12111","PLATANITO SHOW",33
"12144","PMS PRECAUCION MUJERES SOBREVIVIENDO",28
"12149","POEMA PARA TRES",21
"12173","PONTE EN MIS ZAPATOS",129
"12177","POPOL VUH",18
"12189","POR QUE LAS MUJERES AMAN",25
"12191","POR QUE LAS MUJERES AMAN A LOS",17
"12193","POR QUE LAS MUJERES AMAN A LOS PENDEJOS",26
"12194","PORQUE LAS MUJERES AMAN A LOS PENDEJOS",64
"12203","PORQUE LOS HOMBRES AMAN A LAS CABRONAS",52
"12206","POR QUE NO NOS CASAMOS",173
"12207","POR QUE VIDA",25
"12234","POTTED POTTER",32
"12245","PRECISIONES PARA ENTENDER AQUELLA TARDE",26
"12247","PRE COPEO STAND UP COMEDY",21
"12351","PRINCIPE AZUL SE BUSCA SAPOS ABSTE",37
"12353","PRIVACIDAD",55
"12358","PROBLEMAS DE AUTORIDAD",148
"12386","PROSPERO SUEÑA A JULIETA",23
"12407","PROYECTO LARAMIE",29
"12430","PULMONES",30
"12540","PUNTA COMETA",24
"12549","PURAS COSAS MARAVILLOSAS",86
"12550","PURO AMOR",36
"12562","QUE CON QUIQUE QUINTO",30
"12578","QUEMAR LAS NAVES EL VIAJE DE EMMA",19
"12587","QUE TAN ALTOS SON LOS EDIFICIOS EN NY",19
"12595","QUIEN MATO AL DUQUE",22
"12598","QUIEN TEME A VIRGINIA",39
"12607","QUIJOTE VENCEDOR DE SI MISMO",25
"12668","RAIZ",23
"12742","RAYADOS TEMP 16 17 BUTACA",24
"12831","RECORRIDO DEL TERROR",26
"12879","RENT",135
"12911","REPTILES GLA",990
"12935","RESTAURANTES HIPODROMO",173
"12983","RICARDO III",71
"13007","RIÑON DE CERDO PARA EL DESCONSUELO",20
"13058","ROCK OF AGES",108
"13064","ROCKPUNZEL",41
"13075","RODEO DE IMPRO",23
"13099","ROJO",39
"13102","ROMA",20
"13104","ROMA AL FINAL DE LA VIA",21
"13116","ROMEOS",23
"13118","ROMEO Y JULIETA",68
"13119","ROMEO Y JULIETA BALLET",21
"13137","ROSA DE DOS AROMAS",24
"13142","ROSA MEXICANO",54
"13145","ROSE",24
"13153","ROTTERDAM",31
"13203","SABADO DE LUCHA LIBRE RETRO",36
"13205","SABADOS DE LUCHA LIBRE",27
"13215","SACRIFICIO PROYECTO LEÑERO",23
"13216","SAGA EL ROBOT ACTUANTE",19
"13254","SANCHEZ HUERTA",36
"13276","SANTIFICARAS LAS FIESTAS",23
"13314","S BADOS RETRO DE LUCHA LIBRE CMLL",21
"13320","SCOOBY DOO",54
"13393","SEÑORITA LISISTRATA",18
"13402","SEP7IMO DIA CIRQUE DU SOLEIL",53
"13427","SERIE 2015 FIBA CHAMPIONSHIP",23
"13450","SEXO SEXO SEXO EL MUSICAL",16
"13455","SEXY LAUNDRY LA ROPA SEXY SE LAVA EN CASA",111
"13460","SHAKESPEARE FRENTE A FRENTE",52
"13513","SHREK EL MUSICAL",47
"13516","SIDDHARTHA",32
"13517","SIDDHARTHA EL MUSICAL",21
"13532","SILENCIOS",38
"13555","SIMULACRO DE IDILIO",24
"13558","SINALOA VIP",16
"13580","SI NO LO CUENTAS TU QUIEN LO SABRA",37
"13584","SIN PARACAIDAS",35
"13598","SI TAN SOLO SOLITARIO ESTUVIERA EN CASA",16
"13602","SI TU NO VUELVES",36
"13620","SLAVA S SNOWSHOW",19
"13621","SLAVA S SNOW SHOW",54
"13739","SOLO QUIERO HACERTE FELIZ",63
"13743","SOLSTICIO DE INVIERNO",22
"13744","SOLTERA PERO NO SOLA",42
"13745","SOLTERO CASADO VIUDO Y DIVORCIADO",417
"13757","SONATA DE OTOÑO",30
"13766","SONETO PARA DOS ALMAS EN VILO",32
"13808","S O S SER O STRESS",65
"13832","SPELLING BEE",23
"13855","SPUTNIK",19
"13857","SRA KLEIN",50
"13861","SR PERRO",20
"13866","STANDOPADOS",20
"13873","STAND UP BAR COMEDY",114
"13879","STAND UP COMEDY ENSALADA DE RISAS",19
"13880","STAND UP COMEDY ES LO QUE HAY",83
"13881","STAND UP COMEDY NIGHTS",17
"13883","STAND UP D GENERO",22
"13884","STAND UP EL CHORO QUE MAREA",47
"13887","STAND UP ESTANDO PARA TODOS",47
"13929","STOP KISS",30
"13956","SUCEDIO EN POLANCO",23
"13967","SUEÑO DE UNA NOCHE DE VERANO",31
"14074","SUPERMULTIPADRISIMO",286
"14080","SURREALISMO",31
"14085","SURTIDO Y CON TODO",16
"14103","SYLVIA",20
"14150","TANDA DE PECADORES",20
"14151","TANDAS Y TUNDAS",17
"14178","TARTUFO EL IMPOSTOR",81
"14202","TEATRO JOVEN",31
"14289","TEMPORADA DE APIOS",23
"14306","TENGAMOS EL SEXO EN PAZ",26
"14307","TENIS",19
"14342","TERROR EN TATELOLCO",27
"14348","TESTOSTERONA",37
"14413","THE HOLE MEXICO",16
"14414","THE ILLUSIONISTS",20
"14465","THERE S NO HOME LIKE PLACE",20
"14516","TICKET2RIDE",296
"14591","TIMBIRICHE",25
"14625","TODAVIA SIEMPRE",20
"14628","TODO ES UN COMPLOT CAPITALISTA",85
"14630","TODO MAL STANDOP COMEDI",23
"14696","TOM EN LA GRANJA",46
"14746","TOUR ESTADIO BBVA BANCOMER",246
"14759","TOXICO",36
"14792","TRANSLUCID",65
"14869","TRANSPORTE CIRQUE DU SOLEIL",79
"14872","TRATTARIA D IMPROVIZZO",17
"14890","TRES",18
"14982","TRIO SIN SIMONE",20
"14989","TRISTAN E ISOLDA",18
"15017","TU QUE SABES DEL AMOR",18
"15046","UMA DE PAPEL",60
"15049","UMBRA",21
"15053","UNA BESTIA EN MI JARDIN",34
"15057","UN ACTO DE DIOS",41
"15069","UNA HISTORIA DEL DIABLO",94
"15072","UNA INVESTIGACION PORNOGRAFICA",24
"15073","UNA LUNA PARA LOS MALNACIDOS",38
"15086","UNA NOCHE EN LA PLAYA",30
"15092","UNA SEMANA NADA MAS",160
"15101","UN BUEN DIA PARA VIVIR",17
"15105","UN CORAZON NORMAL",84
"15114","UN DIA NUBLADO EN LA CASA DEL SOL",24
"15116","UN DIA PARTICULAR",79
"15119","UN ENCUENTRO INESPERADO",188
"15124","UN GUERRERO MUY GONZALO",26
"15125","UN HOMBRE AJENO",39
"15154","UN PICASSO",157
"15160","UN PROPOSITO CLARO",30
"15171","UN TRANVIA LLAMADO DESEO",28
"15180","UN ZAPATO EN EL HORNO",24
"15193","URINETOWN",27
"15209","VALENTINA Y LA SOMBRA DEL DIABLO",30
"15216","VAMONOS AL TEIBOL",34
"15229","VARIACIONES ENIGMATICAS",148
"15236","VASELINA",79
"15247","VEINTIDOS VEINTIDOS",162
"15278","VERDADES PATRA AS Y RISAS",25
"15279","VERDADES PATRAÑAS Y RISAS",27
"15281","VERDAD O RETO EL MUSICAL",92
"15282","VERDAD O RETO EL MUSICAL REVIVE",55
"15283","VERDAD O RETO EL MUSICAL REVIVE LOS 90",62
"15295","VIAJE A LA LUNA",42
"15297","VIAJE DE TRES",20
"15331","VIERNES ESPECTACULAR CMLL",30
"15333","VIERNES ESPECTACULAR DE LUCHA LIBRE",77
"15334","VIERNES ESPECTACULAR DE LUCHA LIBRE CMLL",52
"15337","VIERNES ESPECTACULAR LUCHA LIBRE CMLL GRAL",25
"15338","VIERNES TAPATIO",16
"15348","VILLITA PRESENTA UN SHOW DE STAND UP",37
"15354","VINE A RUSIA PORQUE ME DIJERON",19
"15360","VIPERINA Y EL JARDIN DE LA MUERTE",22
"15385","VIVA TEQUILA",215
"15400","VIVEXPRESS",159
"15475","WENSES Y LALA",98
"15481","WE WILL ROCK YOU",23
"15498","WICKED",256
"15500","WICKED ABONO EXPERIENCIAS",27
"15516","WIT DESPERTAR A LA VIDA",52
"15691","XVIII FERIA INT DEL MEZCAL 2015",16
"15811","YO SOY CARLOS MARX",24
"15812","YO SOY DIOS",19
"15826","Y SIGUES SIN PODER DORMIR",18
"15839","ZAPATO BUSCA SAPATO",28
"15842","ZARATUSTRA",27
"15852","ZOE",18
"15858","ZONA GOURMET CANTINETA 2016 17",28
"15859","ZONA GOURMET CANTINETA DEL DIABLO",27
"15860","ZONA GOURMET LA BENDITA",24
"15861","ZONA GOURMET LA BENDITA 16 17",34
"15865","ZONA GOURMET LA GRELHA CHARROS",24
"15866","ZONA GOURMET LA GRELHA TEMP 16 17",31
"15867","ZONA GOURMET WINGS ARMY 16 17",37
"15872","ZOOT SUIT",22
"15873","ZORBAS EL PODER DE LAS PROMESAS",18
